,販売単価の実測値,armaの予測値,arimaの予測値,sarimaの予測値,arma_絶対値誤差,arima_絶対値誤差,sarima_絶対値誤差,年月,データ区分
2014-04-01,422.02255599999995,,,,,,,2014-04-01,train
2014-05-01,422.40230199999996,421.4476430708549,421.90442987026046,515.3720879617837,0.9546589291450687,0.49787212973950545,92.96978596178371,2014-05-01,train
2014-06-01,421.377996,421.7742233769454,422.4225296144414,451.41503352205547,0.3962273769453759,1.0445336144413773,30.03703752205547,2014-06-01,train
2014-07-01,427.742005,420.5190080060116,421.13528357237044,431.79114161550916,7.222996993988431,6.606721427629566,4.0491366155091555,2014-07-01,train
2014-08-01,426.067572,428.2051833515804,428.9237453359916,435.4139770510855,2.1376113515804036,2.8561733359916275,9.346405051085526,2014-08-01,train
2014-09-01,427.703599,424.6258404949336,426.4566370837538,430.07735838061546,3.077758505066413,1.2469619162462209,2.3737593806154678,2014-09-01,train
2014-10-01,428.297207,427.2911962147198,428.2646673827965,431.8327092172928,1.006010785280239,0.03253961720349707,3.5355022172927875,2014-10-01,train
2014-11-01,426.89120499999996,427.4191745288492,428.75713539154555,432.0890364415061,0.527969528849269,1.8659303915455894,5.197831441506139,2014-11-01,train
2014-12-01,427.32023899999996,425.75261659359705,426.88493577098046,429.8719112803907,1.5676224064029043,0.43530322901949603,2.551672280390733,2014-12-01,train
2015-01-01,431.356479,426.6056655804577,427.38352416058444,430.72042963619367,4.750813419542283,3.972954839415536,0.6360493638063076,2015-01-01,train
2015-02-01,445.62351399999994,431.131548593611,432.187349797568,436.1651202228023,14.491965406388942,13.43616420243194,9.45839377719767,2015-02-01,train
2015-03-01,449.46650199999993,446.8095840399698,448.99663663865095,454.4902210391962,2.656917960030114,0.4698653613489796,5.023719039196237,2015-03-01,train
2015-04-01,451.759853,447.97199754037126,452.3802381069994,455.79097499662197,3.7878554596287586,0.6203851069993789,4.031121996621948,2015-04-01,train
2015-05-01,445.926559,450.4001002279875,454.0685630890023,456.79449884749636,4.473541227987482,8.142004089002285,10.867939847496359,2015-05-01,train
2015-06-01,441.15851900000007,443.0842149296448,446.21894596274933,447.68816607084597,1.9256959296447462,5.060426962749261,6.529647070845897,2015-06-01,train
2015-07-01,448.818709,439.0730593072063,440.3717847644024,442.35127459570134,9.745649692793734,8.446924235597635,6.467434404298672,2015-07-01,train
2015-08-01,445.28767300000004,448.8542934561021,449.8306172187446,454.28021590043375,3.5666204561020436,4.5429442187445375,8.992542900433705,2015-08-01,train
2015-09-01,449.344608,442.66645610349633,445.21007675956906,447.9943401973127,6.678151896503664,4.134531240430931,1.3502678026873127,2015-09-01,train
2015-10-01,441.08466100000004,448.70687346046236,450.0890809447171,453.9595757784621,7.622212460462322,9.004419944717085,12.874914778462085,2015-10-01,train
2015-11-01,431.877213,437.79674235444446,439.88802262935,441.8589134812902,5.919529354444478,8.010809629350035,9.981700481290204,2015-11-01,train
2015-12-01,431.06739400000004,429.36984186154217,429.2463345697707,431.2000084232308,1.6975521384578656,1.8210594302293543,0.1326144232307911,2015-12-01,train
2016-01-01,427.445309,430.20934504429977,429.19982939171615,432.96518625109786,2.7640360442997576,1.7545203917161416,5.519877251097853,2016-01-01,train
2016-02-01,429.458454,425.8081106048026,425.5035431976768,429.0863550338134,3.6503433951974102,3.9549108023232407,0.37209896618662697,2016-02-01,train
2016-03-01,412.285601,429.08718288952423,428.598332052306,433.03538787165337,16.801581889524243,16.312731052305992,20.749786871653384,2016-03-01,train
2016-04-01,391.42421,408.3686805024309,408.2743090797747,681.2558526120015,16.944470502430875,16.85009907977468,289.8316426120015,2016-04-01,train
2016-05-01,387.498212,388.4289269758218,384.6536925793522,269.4389527342183,0.9307149758217861,2.8445194206478277,118.05925926578175,2016-05-01,train
2016-06-01,369.403541,388.0718330197649,382.35244209890664,386.06330881017783,18.668292019764863,12.948901098906617,16.65976781017781,2016-06-01,train
2016-07-01,357.78819599999997,367.048142903905,362.460158221897,374.6344718930858,9.259946903905018,4.671962221897047,16.846275893085817,2016-07-01,train
2016-08-01,354.083287,357.9543368298298,350.9907841019581,356.42467750804803,3.871049829829815,3.0925028980418574,2.3413905080480504,2016-08-01,train
2016-09-01,346.208085,355.5591916804996,348.96457878886173,358.210396513739,9.35110668049964,2.7564937888617465,12.002311513739016,2016-09-01,train
2016-10-01,341.553898,346.8833178804662,341.32987147997153,350.49920993097174,5.329419880466219,0.2240265200284739,8.94531193097174,2016-10-01,train
2016-11-01,345.743009,343.29280054718566,337.4752976679307,344.75350024608304,2.4502084528143087,8.267711332069268,0.9895087539169367,2016-11-01,train
2016-12-01,346.672746,348.9375453177691,343.94906954857686,351.54958742111705,2.264799317769075,2.7236764514231595,4.876841421117035,2016-12-01,train
2017-01-01,337.755332,348.82679447357486,345.6902922088773,356.4933817024248,11.071462473574854,7.934960208877271,18.738049702424803,2017-01-01,train
2017-02-01,340.09673599999996,338.4520933235298,335.31987783297416,357.8607594590268,1.6446426764701414,4.776858167025807,17.764023459026816,2017-02-01,train
2017-03-01,348.655631,343.378385163144,338.9859063416698,349.8304571888517,5.277245836856025,9.66972465833021,1.1748261888516822,2017-03-01,train
2017-04-01,358.846609,352.31568986895684,349.6398574243955,357.12358666037863,6.530919131043163,9.206751575604528,1.723022339621366,2017-04-01,train
2017-05-01,359.466423,362.3070394355877,361.50094346080795,359.4149376768935,2.8406164355876626,2.0345204608079257,0.05148532310653309,2017-05-01,train
2017-06-01,371.003977,360.914821105128,361.27349211716194,361.22175669444016,10.089155894872022,9.730484882838084,9.78222030555986,2017-06-01,train
